,Composite_SC_category,score
215,1,0.18730650602264062
547,0,0.10378061480384947
406,0,0.041839874761828405
1055,0,0.2063547218765832
1078,0,0.27015127686982876
822,1,0.6182304971291619
1276,0,0.1986409465256945
967,1,0.08875454834710099
85,0,0.17845481679624325
240,0,0.1075606568763156
497,0,0.000373867443178173
624,1,0.452023933879386
917,0,0.3392894135724891
735,0,0.3063775746520879
126,0,8.342281728288357e-05
1361,0,0.39321879832108697
1204,1,0.27716844261021345
334,0,0.005214957513256308
959,0,0.001761194713636288
912,0,0.16268469180590422
359,1,0.21130626004007588
317,1,0.06908497317049292
922,1,0.1960770400070214
1329,0,0.1406625441621836
1034,0,0.0491737102036488
192,0,0.00016543134931177263
821,1,0.9616341480844991
344,1,0.7491500268661261
643,0,0.24296656277123405
399,0,0.07076763253164989
825,1,0.5789266812528095
194,0,0.10272298183537266
921,1,0.15184959151473112
940,0,0.13382987498245363
1024,0,0.029160818895436723
1280,0,0.3278652647380792
1037,0,0.3635847222819786
177,0,0.14343109281441252
813,1,0.9238428657818025
332,1,0.8591502984818257
107,0,0.0001401616842121288
704,0,0.11345924629799777
408,0,0.14923874162267814
541,0,4.063312364053056e-08
340,1,5.39694846455273e-05
783,1,0.9466315606528147
1207,0,0.2712669012859396
1199,0,0.10689853584156628
594,0,0.027284483048403505
1264,0,0.13019735803927746
314,0,0.05890240240335692
928,1,0.21214052625151622
1295,0,0.3324215594431492
490,1,0.9336038807247519
773,0,0.019515274245531577
